Reaction ID,Name,Reaction equation,Gene
rxn04271_c0,trans_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase_c0,H2O_c0 + NAD_c0 + trans_2_Methyl_5_isopropylhexa_2_5_dienal_c0 <=> NADH_c0 + 2.0 H_c0 + trans_2_Methyl_5_isopropylhexa_2_5_dienoic_acid_c0,From ModelSEED
rxn13783_c0,DNA_replication_c0, --> DNA_replication_c0,From ModelSEED
rxn10118_c0,hydrogenase_ubiquinone_8__2_protons_periplasm_c0,2.0 H_c0 + H2_c0 + Ubiquinone_8_c0 --> 2.0 H_e0 + Ubiquinol_8_c0,From ModelSEED
rxn12008_c0,R05611_c0,Isopentenyldiphosphate_c0 + all_trans_Heptaprenyl_diphosphate_c0 --> PPi_c0 + H_c0 + Farnesylfarnesylgeraniol_c0,From ModelSEED
rxn00199_c0,oxalosuccinate_carboxy_lyase_2_oxoglutarate_forming_c0,H_c0 + Oxalosuccinate_c0 --> CO2_c0 + 2_Oxoglutarate_c0,From ModelSEED
rxn10231_c0,isohexadecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0,L_Serine_c0 + CDP_1_2_diisohexadecanoylglycerol_c0 --> CMP_c0 + 2.0 H_c0 + Diisohexadecanoylphosphatidylserine_c0,From ModelSEED
rxn12637_c0,RXN0_6987c_c0,H2O_c0 + gly_asp_L_c0 <=> Glycine_c0 + L_Aspartate_c0,From ModelSEED
rxn03046_c0,ATP_guanidinoethyyl_methyl_phosphate_phosphotransferase_c0,ATP_c0 + Guanidinoethyl_methyl_phosphate_c0 <=> ADP_c0 + H_c0 + N_Phosphoguanidinoethyl_methyl_phosphate_c0,From ModelSEED
rxn13971_c0,pheophorbide_a_hydrolase_decarboxylating_c0,H2O_c0 + Pheophorbide_a_c0 <=> CO2_c0 + Methanol_c0 + Pyropheophorbide_a_c0,From ModelSEED
rxn09240_c0,Sulfate_adenyltransferase_c0,H2O_c0 + ATP_c0 + GTP_c0 + Sulfate_c0 --> Phosphate_c0 + PPi_c0 + GDP_c0 + H_c0 + APS_c0,From ModelSEED
rxn01219_c0,ATP_dCMP_phosphotransferase_c0,ATP_c0 + H_c0 + dCMP_c0 <=> ADP_c0 + dCDP_c0,From ModelSEED
rxn00519_c0,ITP_oxaloacetate_carboxy_lyase_adding_ITP_phosphoenolpyruvate_forming_c0,Oxaloacetate_c0 + ITP_c0 <=> CO2_c0 + Phosphoenolpyruvate_c0 + IDP_c0,From ModelSEED
rxn00258_c0,Malonyl_CoA_pyruvate_carboxytransferase_c0,Pyruvate_c0 + Malonyl_CoA_c0 <=> Acetyl_CoA_c0 + Oxaloacetate_c0,From ModelSEED
rxn00800_c0,N6_1_2_dicarboxyethylAMP_AMP_lyase_fumarate_forming_c0,Adenylosuccinate_c0 <=> AMP_c0 + Fumarate_c0,From ModelSEED
rxn01705_c0,dCTP_cytidine_5_phosphotransferase_c0,dCTP_c0 + Cytidine_c0 <=> CMP_c0 + H_c0 + dCDP_c0,From ModelSEED
rxn09177_c0,R_4_Phosphopantothenate_L_cysteine_ligase_c0,CTP_c0 + L_Cysteine_c0 + 4_phosphopantothenate_c0 --> PPi_c0 + CMP_c0 + 2.0 H_c0 + R_4_Phosphopantothenoyl_L_cysteine_c0,From ModelSEED
rxn00211_c0,UDP_glucose_NAD_6_oxidoreductase_c0,H2O_c0 + 2.0 NAD_c0 + UDP_glucose_c0 <=> 2.0 NADH_c0 + 3.0 H_c0 + UDPglucuronate_c0,From ModelSEED
rxn00179_c0,ATP_L_glutamate_5_phosphotransferase_c0,ATP_c0 + L_Glutamate_c0 <=> ADP_c0 + L_Glutamyl_5_phosphate_c0,From ModelSEED
rxn02945_c0,prephytoene_diphosphate_geranylgeranyl_diphosphate_geranylgeranyltransferase_c0,Prephytoene_diphosphate_c0 --> PPi_c0 + H_c0 + 15_cis_Phytoene_c0,From ModelSEED
rxn01210_c0,10_Formyltetrahydrofolate_L_glutamate_ligase_ADP_forming_c0,ATP_c0 + L_Glutamate_c0 + 10_Formyltetrahydrofolate_c0 --> ADP_c0 + Phosphate_c0 + H_c0 + 10_Formyl_THF_L_glutamate_c0,From ModelSEED
rxn00730_c0,Malonyl_CoA_anthranilate_N_malonyltransferase_c0,Malonyl_CoA_c0 + Anthranilate_c0 <=> CoA_c0 + N_Malonylanthranilate_c0,From ModelSEED
rxn00192_c0,acetyl_CoA_L_glutamate_N_acetyltransferase_c0,Acetyl_CoA_c0 + L_Glutamate_c0 --> CoA_c0 + H_c0 + N_Acetyl_L_glutamate_c0,From ModelSEED
rxn01218_c0,2_Deoxycytidine_5_monophosphate_phosphohydrolase_c0,H2O_c0 + dCMP_c0 --> Phosphate_c0 + Deoxycytidine_c0,From ModelSEED
rxn03360_c0,5_Hydroxykynurenamine_decarboxy_lyase_c0,CO2_c0 + 5_Hydroxykynurenamine_c0 <=> H_c0 + 5_Hydroxykynurenine_c0,From ModelSEED
